Tier,Genre,Ethnicity,Client_Tag,Creator_Name,TikTok_URL,HitVideos_URL,Hit_Keywords,Followers,Hit_Videos,Median_Views,Engagement_Rate,Vibe_Cluster_Hint,Region_Type
B,BEAUTY,ASIA,cafune,yunalatte.uk,https://www.tiktok.com/@yunalatte.uk,https://www.tiktok.com/@yunalatte.uk/video/7517250081267961095,PrivateSalonTokyo,339200,1,82200,2,General,Tabinaka (JP focus)
B,EXPERIENCE,AMERICA,creha,nomadicnyah,https://www.tiktok.com/@nomadicnyah,https://www.tiktok.com/@nomadicnyah/video/7536633663585340703,Tokyo DIY Workshop,922,1,6596,2,Urban/Street,Global
B,LIFESTYLE,ASIA,wakupaku,kanainlosangeles,https://www.tiktok.com/@kanainlosangeles,https://www.tiktok.com/@kanainlosangeles/video/7488918514309500206,Unique Japan Souvenirs,39300,1,122000,2,Urban/Street,Tabinaka (JP focus)
B,BEAUTY,ASIA,cafune,thenatashaibrahim,https://www.tiktok.com/@thenatashaibrahim,https://www.tiktok.com/@thenatashaibrahim/video/7503194990676331819,Tokyo Travel Itinerary Beauty,88500,1,10300,2,General,Tabinaka (JP focus)
B,BEAUTY,ASIA,cafune,user5373847392,https://www.tiktok.com/@user5373847392,https://www.tiktok.com/@user5373847392/video/7562713511801965855,Best Japanese Nail Art,110,1,16000,2,General,Tabinaka (JP focus)
B,BEAUTY,ASIA,cafune,softlyfee,https://www.tiktok.com/@softlyfee,https://www.tiktok.com/@softlyfee/video/7559612543069703432,PrivateSalonTokyo,51100,1,45800,1.99,General,Tabinaka (JP focus)
B,LIFESTYLE,ASIA,nots,koocat,https://www.tiktok.com/@koocat,https://www.tiktok.com/@koocat/video/7590791386283134226,#japanesecountryside,336000,1,45000,1.98,Cinematic,Tabinaka (JP focus)
B,FOOD,ASIA,zstea,shinichimine,https://www.tiktok.com/@shinichimine,https://www.tiktok.com/@shinichimine/video/7499636144259337480,Tokyo Hidden Gem Lunch,7437,1,12100,1.98,Hidden Gem,Tabinaka (JP focus)
B,BEAUTY,ASIA,cafune,annabeauty.jp,https://www.tiktok.com/@annabeauty.jp,https://www.tiktok.com/@annabeauty.jp/video/7564443918750813461,Luxury Beauty Experience Japan,2453,1,7921,1.94,Luxury,Tabinaka (JP focus)
B,EXPERIENCE,AMERICA,creha,anakjajan,https://www.tiktok.com/@anakjajan,https://www.tiktok.com/@anakjajan/video/7559067193267260684,Tokyo Drift Real Life,31100,1,132900,1.93,Hidden Gem,Tabimae (US focus)
B,EXPERIENCE,ASIA,tokyosauna,anakjajan,https://www.tiktok.com/@anakjajan,https://www.tiktok.com/@anakjajan/video/7559067193267260684,Authentic Tokyo Experience,31100,1,135600,1.93,Hidden Gem,Tabinaka (JP focus)
